Softrondetijd:	Mediumrondetijd:	Hardrondetijd	pitstoptijd	maxpitstops	totale ronden
107.4	107.6	108.2	23.0	2	50
volgorde bandentypes 	 1e pitstopronde 	 2e pitstopronde 	 totale race tijd (hoe kleiner hoe beter) 	 risicofactor
Hard-Medium	1		5742.26	Klapband!
Hard-Medium	2		5742.74	Klapband!
Hard-Medium	3		5743.16	Klapband!
Hard-Medium	4		5743.5199999999995	Klapband!
Hard-Medium	5		5743.82	Klapband!
Hard-Medium	6		5744.0599999999995	Klapband!
Hard-Medium	7		5744.24	Klapband!
Hard-Medium	8		5744.36	Klapband!
Hard-Medium	9		5744.42	Klapband!
Hard-Medium	10		5744.42	Klapband!
Hard-Medium	11		5744.36	Klapband!
Hard-Medium	12		5744.24	Klapband!
Hard-Medium	13		5744.0599999999995	Klapband!
Hard-Medium	14		5743.82	Klapband!
Hard-Medium	15		5743.5199999999995	Klapband!
Hard-Medium	16		5743.16	Klapband!
Hard-Medium	17		5742.74	Klapband!
Hard-Medium	18		5742.259999999999	Klapband!
Hard-Medium	19		5741.719999999999	Klapband!
Hard-Medium	20		5741.12	Klapband!
Hard-Medium	21		5740.459999999999	Klapband!
Hard-Medium	22		5739.74	Klapband!
Hard-Medium	23		5738.959999999999	Klapband!
Hard-Medium	24		5738.119999999999	zeer hoog
Hard-Medium	25		5737.219999999999	hoog
Hard-Medium	26		5736.259999999999	gemiddeld
Hard-Medium	27		5735.239999999999	gemiddeld
Hard-Medium	28		5734.159999999999	gemiddeld
Hard-Medium	29		5733.019999999999	laag
Hard-Medium	30		5731.819999999999	laag
Hard-Medium	31		5730.559999999999	gemiddeld
Hard-Medium	32		5729.239999999999	gemiddeld
Hard-Medium	33		5727.859999999999	gemiddeld
Hard-Medium	34		5726.329999999999	gemiddeld
Hard-Medium	35		5724.649999999999	hoog
Hard-Medium	36		5722.819999999999	hoog
Hard-Medium	37		5720.839999999998	zeer hoog
Hard-Medium	38		5718.709999999998	Klapband!
Hard-Medium	39		5716.479999999998	Klapband!
Hard-Medium	40		5714.149999999998	Klapband!
Hard-Medium	41		5711.7199999999975	Klapband!
Hard-Medium	42		5709.189999999997	Klapband!
Hard-Medium	43		5706.559999999998	Klapband!
Hard-Medium	44		5703.829999999998	Klapband!
Hard-Medium	45		5700.999999999998	Klapband!
Hard-Medium	46		5698.069999999999	Klapband!
Hard-Medium	47		5695.039999999999	Klapband!
Hard-Medium	48		5691.909999999999	Klapband!
Hard-Medium	49		5688.679999999999	Klapband!
Hard-Medium	50		5685.349999999999	Klapband!
Hard-Soft	1		5865.549999999999	Klapband!
Hard-Soft	2		5866.129999999999	Klapband!
Hard-Soft	3		5866.599999999999	Klapband!
Hard-Soft	4		5866.959999999999	Klapband!
Hard-Soft	5		5867.209999999999	Klapband!
Hard-Soft	6		5867.349999999999	Klapband!
Hard-Soft	7		5867.379999999999	Klapband!
Hard-Soft	8		5867.299999999999	Klapband!
Hard-Soft	9		5867.109999999999	Klapband!
Hard-Soft	10		5866.809999999999	Klapband!
Hard-Soft	11		5866.399999999999	Klapband!
Hard-Soft	12		5865.879999999999	Klapband!
Hard-Soft	13		5865.249999999999	Klapband!
Hard-Soft	14		5864.509999999998	Klapband!
Hard-Soft	15		5863.799999999998	Klapband!
Hard-Soft	16		5862.839999999998	Klapband!
Hard-Soft	17		5861.629999999998	Klapband!
Hard-Soft	18		5860.169999999999	Klapband!
Hard-Soft	19		5858.459999999999	Klapband!
Hard-Soft	20		5856.499999999999	Klapband!
Hard-Soft	21		5854.289999999999	Klapband!
Hard-Soft	22		5851.829999999999	Klapband!
Hard-Soft	23		5849.119999999999	Klapband!
Hard-Soft	24		5846.159999999999	Klapband!
Hard-Soft	25		5842.949999999999	Klapband!
Hard-Soft	26		5839.489999999999	Klapband!
Hard-Soft	27		5835.779999999999	Klapband!
Hard-Soft	28		5831.819999999999	Klapband!
Hard-Soft	29		5827.609999999999	Klapband!
Hard-Soft	30		5823.149999999999	Klapband!
Hard-Soft	31		5818.439999999999	Klapband!
Hard-Soft	32		5813.479999999999	Klapband!
Hard-Soft	33		5808.269999999999	Klapband!
Hard-Soft	34		5802.809999999999	Klapband!
Hard-Soft	35		5797.0999999999985	Klapband!
Hard-Soft	36		5791.1399999999985	Klapband!
Hard-Soft	37		5784.9299999999985	zeer hoog
Hard-Soft	38		5778.469999999998	Klapband!
Hard-Soft	39		5771.809999999998	Klapband!
Hard-Soft	40		5764.949999999997	Klapband!
Hard-Soft	41		5757.889999999997	Klapband!
Hard-Soft	42		5750.6299999999965	Klapband!
Hard-Soft	43		5743.169999999997	Klapband!
Hard-Soft	44		5735.5099999999975	Klapband!
Hard-Soft	45		5727.649999999998	Klapband!
Hard-Soft	46		5719.589999999998	Klapband!
Hard-Soft	47		5711.329999999999	Klapband!
Hard-Soft	48		5702.869999999999	Klapband!
Hard-Soft	49		5694.209999999999	Klapband!
Hard-Soft	50		5685.349999999999	Klapband!
Medium-Hard	1		5684.209999999999	Klapband!
Medium-Hard	2		5683.73	Klapband!
Medium-Hard	3		5683.3099999999995	Klapband!
Medium-Hard	4		5682.95	Klapband!
Medium-Hard	5		5682.65	Klapband!
Medium-Hard	6		5682.41	Klapband!
Medium-Hard	7		5682.23	Klapband!
Medium-Hard	8		5682.11	Klapband!
Medium-Hard	9		5682.049999999999	Klapband!
Medium-Hard	10		5682.049999999999	Klapband!
Medium-Hard	11		5682.11	Klapband!
Medium-Hard	12		5682.23	Klapband!
Medium-Hard	13		5682.41	zeer hoog
Medium-Hard	14		5682.65	hoog
Medium-Hard	15		5682.95	hoog
Medium-Hard	16		5683.31	gemiddeld
Medium-Hard	17		5683.7300000000005	gemiddeld
Medium-Hard	18		5684.21	gemiddeld
Medium-Hard	19		5684.75	gemiddeld
Medium-Hard	20		5685.349999999999	laag
Medium-Hard	21		5686.01	laag
Medium-Hard	22		5686.73	gemiddeld
Medium-Hard	23		5687.51	gemiddeld
Medium-Hard	24		5688.35	gemiddeld
Medium-Hard	25		5689.25	hoog
Medium-Hard	26		5690.21	zeer hoog
Medium-Hard	27		5691.2300000000005	Klapband!
Medium-Hard	28		5692.31	Klapband!
Medium-Hard	29		5693.450000000001	Klapband!
