Softrondetijd:	Mediumrondetijd:	Hardrondetijd	pitstoptijd	maxpitstops	totale ronden
75.2	75.6	75.7	23.0	3	72
volgorde bandentypes 	 1e pitstopronde 	 2e pitstopronde 	 3e pitstopronde 	 totale race tijd (hoe kleiner hoe beter) 	 risicofactor
Hard-Medium-Hard	28	50		5774.08	laag
Hard-Medium-Hard	28	51		5773.96	laag
Hard-Medium-Hard	28	52		5774.05	laag
Hard-Medium-Hard	28	53		5774.34	laag
Hard-Medium-Hard	28	54		5774.84	laag
Hard-Medium-Hard	29	50		5774.64	laag
Hard-Medium-Hard	29	51		5774.43	laag
Hard-Medium-Hard	29	52		5774.42	laag
Hard-Medium-Hard	29	53		5774.61	laag
Hard-Medium-Hard	30	52		5774.96	laag
Hard-Medium-Medium	17	45		5774.75	gemiddeld
Hard-Medium-Medium	17	46		5774.68	gemiddeld
Hard-Medium-Medium	17	47		5774.9	gemiddeld
Hard-Medium-Medium	18	44		5774.6	laag
Hard-Medium-Medium	18	45		5774.04	laag
Hard-Medium-Medium	18	46		5773.78	gemiddeld
Hard-Medium-Medium	18	47		5773.82	gemiddeld
Hard-Medium-Medium	18	48		5774.14	gemiddeld
Hard-Medium-Medium	18	49		5774.77	gemiddeld
Hard-Medium-Medium	19	43		5774.53	laag
Hard-Medium-Medium	19	44		5773.97	laag
Hard-Medium-Medium	19	45		5773.61	laag
Hard-Medium-Medium	19	46		5773.15	laag
Hard-Medium-Medium	19	47		5773.0	gemiddeld
Hard-Medium-Medium	19	48		5773.13	gemiddeld
Hard-Medium-Medium	19	49		5773.57	gemiddeld
Hard-Medium-Medium	19	50		5774.31	gemiddeld
Hard-Medium-Medium	20	43		5774.17	laag
Hard-Medium-Medium	20	44		5773.52	laag
Hard-Medium-Medium	20	45		5773.06	laag
Hard-Medium-Medium	20	46		5772.8	laag
Hard-Medium-Medium	20	47		5772.45	laag
Hard-Medium-Medium	20	48		5772.39	laag
Hard-Medium-Medium	20	49		5772.64	gemiddeld
Hard-Medium-Medium	20	50		5773.18	gemiddeld
Hard-Medium-Medium	20	51		5774.03	gemiddeld
Hard-Medium-Medium	21	42		5774.94	laag
Hard-Medium-Medium	21	43		5773.98	laag
Hard-Medium-Medium	21	44		5773.24	laag
Hard-Medium-Medium	21	45		5772.69	laag
Hard-Medium-Medium	21	46		5772.34	laag
Hard-Medium-Medium	21	47		5772.17	laag
Hard-Medium-Medium	21	48		5771.93	laag
Hard-Medium-Medium	21	49		5771.98	laag
Hard-Medium-Medium	21	50		5772.33	gemiddeld
Hard-Medium-Medium	21	51		5772.99	gemiddeld
Hard-Medium-Medium	21	52		5773.95	gemiddeld
Hard-Medium-Medium	22	43		5773.96	laag
